ID,Name,Country,Date of birth,Place of birth,Gold,Silver,Bronze,Event
276,Abdullah Abdulaziz Aljoud,SaudiArabia,7/10/1975,ALQATIF (KSA),0,0,0,Men's 5000m
277,Jasmine Alkhaldi,Philippines,6/20/1983,PARANAQUE  MM (PHI),0,0,0,Women's 100m Freestyle
278,Agnese Allegrini,Italy,7/3/1982,Roma,0,0,0,Women's Singles
279,Dominique Allen,GreatBritain,9/10/1989,,0,0,0,Women's Basketball
280,Elena Allen,GreatBritain,7/12/1972,Moscow,0,0,0,Women's Skeet
281,Joe Allen,GreatBritain,3/14/1990,,0,0,0,Men's Football
282,Sophie Allen,GreatBritain,3/21/1992,Lincoln,0,0,0,Women's 200m Individual Medley
283,Ade Alleyne-Forte,TrinidadTobago,10/11/1988,San Fernando (TRI),0,0,0,Men's 4 x 400m Relay
284,Andrique Allisop,Seychelles,6/2/1993,Victoria (SEY),0,0,0,Men's Light (60kg)
285,Bradley Ally,Barbados,11/12/1986,Bridgetown (BAR),0,0,0,"Men's 100m Backstroke, Men's 200m Individual Medley, Men's 400m Individual Medley"
286,Miguel Angel Almachi,Ecuador,5/2/1985,QUITO (ECU),0,0,0,Men's Marathon
287,Nicolas Almagro,Spain,8/21/1985,,0,0,0,Men's Singles
288,Juma Almaktoum,Emirates,12/23/1984,DUBAI (UAE),0,0,0,Men's Double Trap
289,Saeed Almaktoum,Emirates,10/1/1976,DUBAI (UAE),0,0,0,Men's Skeet
290,Rose Mary Almanza,Cuba,7/13/1992,Camaguey (CUB),0,0,0,"Women's 800m, Women's 4 x 400m Relay"
291,Ihab Almatbouli,Jordan,11/6/1985,AL BAQAH (JOR),0,0,0,Men's Light Heavy (81kg)
292,Abdelaziz Sanqour Almazam,Emirates,5/7/1989,,0,0,0,Men's Football
293,Carlos Almeida,Portugal,8/4/1988,Lisboa (POR),0,0,0,Men's 100m Breaststroke
294,Joao Carlos Almeida,Portugal,4/5/1988,Lisboa (POR),0,0,0,Men's 110m Hurdles
295,Kaio Almeida,Brazil,10/19/1984,Joao Pessoa (BRA),0,0,0,"Men's 100m Butterfly, Men's 200m Butterfly, Men's 4x100m Medley Relay"
296,Nair Almeida,Angola,1/23/1984,,0,0,0,Women's Handball
297,Manuel Almeida Campos,Portugal,7/12/1981,PORTO (POR),0,0,0,Men's Qualification
298,Johanna Almgren,Sweden,3/22/1984,,0,0,0,Women's Football
299,Ghfran Almouhamad,Syria,6/6/1989,Aleppo (SYR),0,0,0,Women's 400m Hurdles
300,Misha Aloian,Russia,8/23/1988,,0,0,0,Men's Fly (52kg)
301,Jessica Alonso Bernardo,Spain,9/20/1983,,0,0,0,Women's Handball
302,Jonathan Alonso Flete,Spain,9/6/1990,JAMAO AL NORTE MOCA (DOM),0,0,0,Men's Light Welter (64kg)
303,Kamel Alouini,Tunisia,7/6/1988,,0,0,0,Men's Handball
304,Anthony Alozie,Australia,8/18/1986,Aba (NGR),0,0,0,Men's 4 x 100m Relay
305,Abbas Alqaisoum,SaudiArabia,10/31/1980,ALQATIF,0,0,0,Men's 94kg
306,Azza Alqasmi,Bahrain,2/12/1985,RIFFA (BRN),0,0,0,Women's 50m Rifle 3 Positions
307,Abdullah Alrashidi,Kuwait,8/21/1963,KUWAIT (KUW),0,0,0,Men's Skeet
308,Talal Alrashidi,Kuwait,7/24/1993,KUWAIT (KUW),0,0,0,Men's Trap
309,Therese Alshammar,Sweden,8/26/1977,RASUNDA (SWE),0,0,0,"Women's 50m Freestyle, Women's 100m Freestyle"
310,Julio Alsogaray,Argentina,4/11/1980,SAN PEDRO,0,0,0,Men's Laser
311,Ida Alstad,Norway,6/13/1985,,0,0,0,Women's Handball
312,Maria Suelen Altheman,Brazil,8/12/1988,Sao Paulo,0,0,0,Women's +78kg
313,Eniola Aluko,GreatBritain,2/21/1987,,0,0,0,Women's Football
314,Ever Alvarado,Honduras,1/30/1992,,0,0,0,Men's Football
315,Luis Alvarez,Mexico,4/13/1991,MEXICALI,0,0,0,"Men's Individual, Men's Team"
316,Sergio Alvarez Boulet,Cuba,10/11/1979,Matanzas,0,0,0,Men's 56kg
317,Lazaro Alvarez Estrada,Cuba,1/28/1991,,0,0,0,Men's Bantam (56kg)
318,Yuri Alvear,Colombia,3/29/1986,JAMUNDI VALLE (COL),0,0,1,Women's -70kg
319,Francisco Javier Alves,Spain,9/2/1980,CACERES (ESP),0,0,0,Men's 5000m
320,Thiago Soares Alves,Brazil,7/26/1986,,0,0,0,Men's Volleyball
321,Anna Alyabyeva,Kazakhstan,11/13/1993,Astana (KAZ),0,0,0,Individual All-Around
322,Saad Surour Alyassi,Emirates,7/19/1990,,0,0,0,Men's Football
323,Darisleydis Amador,Cuba,1/1/1988,,0,0,0,"Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m"
324,Andrey Amador Bakkazakova,CostaRica,8/29/1986,SAN RAMON (CRC),0,0,0,Men's Road Race
325,Mohammed Aman,Ethiopia,1/10/1994,Assela (ETH),0,0,0,Men's 800m
326,Ranohon Amanova,Uzbekistan,3/8/1994,ANDIJAN (UZB),0,0,0,Women's 200m Individual Medley
327,Dante Amaral,Brazil,9/30/1980,,0,0,0,Men's Volleyball
328,Yadinys Amaris,Colombia,4/1/1984,AGUACHICA CESAR (COL),0,0,0,Women's -57kg
329,Pol Amat,Spain,6/18/1978,,0,0,0,Men's Hockey
330,Doreen Amata,Nigeria,5/6/1988,Lagos (NGR),0,0,0,Women's High Jump
331,Kim Amb,Sweden,7/31/1990,Solna (SWE),0,0,0,Men's Javelin Throw
332,Eloise Amberger,Australia,1/28/1987,Brisbane (AUS),0,0,0,"Women's Duets, Women's Teams"
333,Serge Ambomo,Cameroon,7/2/1986,NGOKSA (CMR),0,0,0,Men's Light Welter (64kg)
334,Harald Ambros,Austria,3/19/1980,Linz (AUT),0,0,0,"Individual Eventing, O-FELTIZ"
335,Nourhan Amer,Egypt,5/10/1993,MONOFIYA,0,0,0,Women's 10m Air Rifle
336,Christine Amertil,Bahamas,8/18/1979,Nassau (BAH),0,0,0,Women's 4 x 100m Relay
337,Alena Amialiusik,Belarus,2/6/1989,BOBRUISK,0,0,0,Women's Road Race
338,Al-Farouq Aminu,Nigeria,9/21/1990,,0,0,0,Men's Basketball
339,Alade Aminu,Nigeria,9/14/1987,,0,0,0,Men's Basketball
340,Eduarda Amorim,Brazil,9/23/1986,,0,0,0,Women's Handball
341,Vanessa Amoros Quiles,Spain,12/7/1982,,0,0,0,Women's Handball
342,Nijel Amos,Botswana,3/15/1994,MAROBELA (BOT),0,0,0,Men's 800m
343,Alberta Boatema Ampomah,Ghana,11/3/1994,Accra (GHA),0,0,0,Women's +75kg
344,Noureddine Amrabat,Morocco,3/31/1987,,0,0,0,Men's Football
345,Marwa Amri,Tunisia,1/8/1989,Tunis (TUN),0,0,0,Women's 55kg Freestyle
346,Mohamed Amsif,Morocco,2/7/1989,,0,0,0,Men's Football
347,Kum Ae An,NorthKorea,6/3/1980,Pyongyang (PRK),1,0,0,Women's -52kg
348,Phara Anacharsis,France,12/17/1983,FORT DE FRANCE,0,0,0,Women's 4 x 400m Relay
349,Tumua Anae,USA,10/16/1988,,0,0,0,Women's Water Polo
350,Takamasa Anai,Japan,8/5/1984,OITA,0,0,0,Men's -100kg
351,Anis Ananenka,Belarus,11/29/1985,ZHLOBIN,0,0,0,Men's 800m
352,Anton Anchin,Russia,1/30/1990,BASHKIRIA,0,0,0,Men's 200m Backstroke
353,David Andersen,Australia,6/23/1980,,0,0,0,Men's Basketball
354,Stine Andersen,Denmark,1/16/1985,NYKOBING SJAELLAND (DEN),0,0,0,Women's 10m Air Rifle
355,Alyssa Anderson,USA,9/30/1990,Granite Bay,1,0,0,Women's 4x200m Freestyle Relay
356,Haley Anderson,USA,11/20/1991,Santa Clara,0,0,0,Women's 10km Marathon
357,Jenny-Lyn Anderson,Australia,8/13/1992,Johannesburg (RSA),0,0,0,Women's Teams
358,Matthew Anderson,USA,4/18/1987,Buffalo,0,0,0,Men's Volleyball
359,Rose Anderson,GreatBritain,3/23/1988,,0,0,0,Women's Basketball
360,Kim Andersson,Sweden,8/21/1982,,0,0,0,Men's Handball
361,Mattias Andersson,Sweden,3/29/1978,,0,0,0,Men's Handball
362,Isabellah Andersson,Sweden,11/12/1980,Kisii (KEN),0,0,0,Women's Marathon
363,Elizabeth Andiego,Kenya,8/21/1986,Nairobi (KEN),0,0,0,Women's Middle (75kg)
364,Kozue Ando,Japan,7/9/1982,,0,0,0,Women's Football
365,Shunsuke Ando,Japan,8/10/1990,,0,0,0,Men's Football
366,Danail Andonov Petrov,Bulgaria,2/5/1978,KAZANLAK (BUL),0,0,0,Men's Road Race
367,Francisco Andrade,Portugal,7/6/1980,BRAZIL (BRA),0,0,0,Men's 49er
368,Lady Andrade,Colombia,1/10/1992,,0,0,0,Women's Football
369,Marcia Yuleisi Andrades Mendoza,Venezuela,5/17/1984,Cumana,0,0,0,Women's 55kg Freestyle
370,Bjorn Andrae,Germany,5/14/1981,Berlin,0,0,0,Men's Volleyball
371,Nilson Andre,Brazil,1/30/1986,Rio De Janeiro (BRA),0,0,0,"Men's 100m, Men's 4 x 100m Relay"
372,Grigoriy Andreev,Russia,1/7/1976,Bashkortostan,0,0,0,Men's Marathon
373,Ekaterina Andreeva,Russia,8/3/1993,VLADIMIR,0,0,0,Women's 200m Individual Medley
374,Iuliia Andreeva,Kyrgyzstan,3/7/1984,Bishkek (KGZ),0,0,0,Women's Marathon
375,Viktoriia Andreeva,Russia,6/21/1992,Sankt,0,0,0,Women's 4x100m Freestyle Relay
376,Antonakis Andreou,Cyprus,11/24/1974,DEKELEIA (CYP),0,0,0,Men's Skeet
377,Panagiota Andreou,Cyprus,11/10/1995,Paralimni (CYP),0,0,0,Women's Skeet
378,Jake Andrewartha,Australia,12/24/1989,CLARE (AUS),0,0,0,Men's +100kg
379,Valerii Andriitsev,Ukraine,2/27/1987,Kyiv,0,0,0,Men's 96kg Freestyle
380,Matthieu Androdias,France,6/11/1990,,0,0,0,Men's Quadruple Sculls
381,Alona Andruk,Ukraine,6/11/1987,Kiev,0,0,0,Women's Road Race
382,Georgeta Andrunache,Romania,4/14/1976,,0,0,0,Women's Pair
383,Tamir Andryei,Mongolia,1/24/1986,Orkhon Province (MGL),0,0,0,Men's 100m Freestyle
384,Juan Diego Angeloni,Argentina,6/24/1978,ROSARIO DEL TALA (ARG),0,0,0,Men's 50m Rifle Prone
385,Ivo Serafimov Angelov,Bulgaria,10/15/1984,PERNIK (BUL),0,0,0,Men's 60kg Greco-Roman
386,Tonje Angelsen,Norway,1/17/1990,Trondheim (NOR),0,0,0,Women's High Jump
387,Giuseppe Angilella,Italy,8/27/1984,Palermo,0,0,0,Men's 49er
388,Matteo Angioletti,Italy,11/8/1980,MONZA,0,0,0,"Men's Team, Men's Qualification"
389,Franka Anic,Slovenia,2/5/1991,Split (CRO),0,0,0,Women's -67kg
390,Vitaliy Anichkin,Kazakhstan,11/11/1988,Uralsk (KAZ),0,0,0,Men's 50km Race Walk
391,Vida Anim,Ghana,12/7/1983,Accra (GHA),0,0,0,Women's 200m
392,Adil Annani,Morocco,6/30/1980,OLD AMLOUL (MAR),0,0,0,Men's Marathon
393,Sajjad Anoushiravani Hamlabad,Iran,5/12/1984,ARDEBIL,0,0,0,Men's +105kg
394,Jennifer Anson,Palau,3/5/1977,New York,0,0,0,Women's -63kg
395,Dora Antal,Hungary,9/9/1993,,0,0,0,Women's Water Polo
396,Lissette Alexandra Antes Castillo,Ecuador,5/2/1991,LA LIBERTAD (ECU),0,0,0,Women's 55kg Freestyle
397,Carmelo Anthony,USA,5/29/1984,,0,0,0,Men's Basketball
398,Mark Anthony,Australia,10/13/1989,MALANG (INA),0,0,0,Men's -90kg
399,Seema Antil,India,7/27/1983,SONEPAT (IND),0,0,0,Women's Discus Throw
400,Maria Antonelli,Brazil,2/25/1984,,0,0,0,Women's Beach Volleyball
401,Manuel Antonio,Angola,11/3/1988,Luanda (ANG),0,0,0,Men's 800m
402,Semen Antonov,Russia,7/18/1989,,0,0,0,Men's Basketball
403,Alexandra Antonova,Russia,12/22/1991,NAMANGAN (),0,0,0,Women's Water Polo
404,Diana Antonova,Russia,1/17/1993,NAMANGAN (),0,0,0,Women's Water Polo
405,Tatiana Antoshina,Russia,7/27/1982,Moscow,0,0,0,"Women's Individual Time Trial, Women's Road Race"
406,Jitka Antosova,CzechRepublic,3/13/1987,,0,0,0,Women's Double Sculls
407,Lenka Antosova,CzechRepublic,9/27/1991,,0,0,0,Women's Double Sculls
408,Miika Antti-Roiko,Finland,11/20/1988,Kalajoki,0,0,0,Men's 94kg
409,Natalya Antyukh,Russia,6/26/1981,Leningrad,0,0,0,Women's 400m Hurdles
410,Marcos Aoas Correa,Brazil,5/14/1994,,0,0,0,Men's Football
411,Esref Apak,Turkey,1/3/1981,KALECIK / ANKARA (TUR),0,0,0,Men's Hammer Throw
412,Nikolay Apalikov,Russia,8/26/1982,ORENBURG REGION,0,0,0,Men's Volleyball
413,Bolade Apithy,France,8/21/1985,,0,0,0,Men's Individual Sabre
414,Tiago Apolonia,Portugal,7/28/1986,Lisboa,0,0,0,Men's Team
415,Lusapho April,SouthAfrica,5/24/1982,Uitenhage (RSA),0,0,0,Men's Marathon
416,Javier Aquino,Mexico,2/11/1990,,0,0,0,Men's Football
417,Erika Araki,Japan,8/3/1984,KURASHIKI,0,0,0,Women's Volleyball
418,Nada Mohammed W S Arakji,Qatar,10/30/1994,Qatar (QAT),0,0,0,Women's 50m Freestyle
419,Juan Jose Aramburu,Spain,10/13/1981,IRUN (ESP),0,0,0,Men's Skeet
420,Juan Esteban Arango Carvajal,Colombia,10/6/1986,MEDELLIN (COL),0,0,0,"Men's Omnium, Men's Team Pursuit"
421,Krystian Aranowski,Poland,4/11/1988,,0,0,0,Men's Eight
422,Jacob Araptany,Uganda,2/11/1994,KAPRORON (UGA),0,0,0,Men's 3000m Steeplechase
423,Yukiya Arashiro,Japan,9/22/1984,ISHIGAKI,0,0,0,Men's Road Race
424,Adriana Araujo,Brazil,11/4/1981,Sao Paulo (BRA),0,0,0,Women's Light (60kg)
425,Nestor Araujo,Mexico,8/29/1991,,0,0,0,Men's Football
426,Edward Araya,Chile,2/14/1986,Antofagasta (CHI),0,0,0,Men's 50km Race Walk
427,Yerko Araya,Chile,2/14/1986,Antofagasta (CHI),0,0,0,Men's 20km Race Walk
428,Geisa Arcanjo,Brazil,9/19/1991,SAO ROQUE (BRA),0,0,0,Women's Shot Put
429,Shane Archbold,NewZealand,2/2/1989,TIMARU (NZL),0,0,0,Men's Omnium
430,Robert Archibald,GreatBritain,3/29/1980,,0,0,0,Men's Basketball
431,Ryan Archibald,NewZealand,9/1/1980,,0,0,0,Men's Hockey
432,Koko Archibong,Nigeria,5/10/1981,,0,0,0,Men's Basketball
433,Giulia Arcioni,Italy,3/21/1986,Roma,0,0,0,Women's 4 x 400m Relay
434,Saylom Ardee,Thailand,7/7/1986,KHON KAEN (THA),0,0,0,Men's Light (60kg)
435,Abeba Aregawi,Ethiopia,7/5/1990,Tigray (ETH),0,0,0,Women's 1500m
436,Sandra Arenas,Colombia,9/17/1993,PEREIRA (COL),0,0,0,Women's 20km Race Walk
437,Humberto Daniel Arencibia Martinez,Cuba,11/20/1989,Pinar del Rio (CUB),0,0,0,Men's 84kg Freestyle
438,Mareks Arents,Latvia,8/6/1986,Riga (LAT),0,0,0,Men's Pole Vault
439,Eider Arevalo,Colombia,3/9/1993,Bogota (COL),0,0,0,Men's 20km Race Walk
440,Egidio Arevalo,Uruguay,1/1/1982,,0,0,0,Men's Football
441,Samantha Arevalo Salinas,Ecuador,9/30/1994,Cuenca (ECU),0,0,0,Women's 800m Freestyle
442,Nataly Arias,Colombia,4/2/1986,,0,0,0,Women's Football
443,Ramon Arias,Uruguay,7/27/1992,,0,0,0,Men's Football
444,Candida Estefany Arias Perez,DominicanRepublic,3/11/1992,Santo Domingo (DOM),0,0,0,Women's Volleyball
445,Wellington Arias Romero,DominicanRepublic,3/13/1991,Santo Domingo (DOM),0,0,0,Men's Light (60kg)
446,Polat Kemboi Arikan,Turkey,12/12/1990,CHEPTIRET (KEN),0,0,0,"Men's 5000m, Men's 10,000m"
447,Saori Ariyoshi,Japan,11/1/1987,,0,0,0,Women's Football
448,Natalia Ariza,Colombia,2/21/1991,,0,0,0,Women's Football
449,Tatiana Ariza,Colombia,2/21/1991,,0,0,0,Women's Football
450,Wilma Arizapana,Peru,10/1/1982,Puno (PER),0,0,0,Women's Marathon
451,Mohammed Arjaoui,Morocco,6/6/1987,MOHAMMEDIA (MAR),0,0,0,Men's Super Heavy (+91kg)
452,Michael Arms,NewZealand,9/23/1989,,0,0,0,Men's Quadruple Sculls
453,Betsey Armstrong,USA,1/31/1983,Ann Arbor,0,0,0,Women's Water Polo
454,Dylan Armstrong,Canada,1/15/1981,Kamloops (CAN),0,0,0,Men's Shot Put
455,Kristin Armstrong,USA,8/11/1973,Memphis,1,0,0,"Women's Individual Time Trial, Women's Road Race"
456,Daniel Arnamnart,Australia,9/14/1989,WAHROONGA (AUS),0,0,0,"Men's 100m Backstroke, Men's 4x100m Medley Relay"
457,Arni Mar Arnason,Iceland,10/9/1987,Reykjavik (ISL),0,0,0,Men's 50m Freestyle
458,Judith Arndt,Germany,7/23/1976,KONIGS WUSTERHAUSEN,0,1,0,"Women's Individual Time Trial, Women's Road Race, Women's Team Pursuit"
459,Felix Aronovich,Israel,7/18/1988,Odessa,0,0,0,Men's Qualification
460,Valentina Arrighetti,Italy,1/26/1985,Genova,0,0,0,Women's Volleyball
461,Gabriel Arroyo,Argentina,3/3/1977,Buenos Aires (ARG),0,0,0,Men's Volleyball
462,Jorge David Arroyo Valdez,Ecuador,9/23/1991,FRANCISCO ORELLANA,0,0,0,Men's 105kg
463,Heather Arseth,Mauritius,8/9/1993,New York,0,0,0,Women's 200m Freestyle
464,Artiom Arshanski,Israel,9/26/1991,Moscow,0,0,0,Men's -60kg
465,Andrea Arsovic,Serbia,2/5/1987,Niksic (MNE),0,0,0,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
466,Mauricio Arteaga,Ecuador,8/8/1988,Cuenca (ECU),0,0,0,Men's 20km Race Walk
467,Olga Arteshina,Russia,11/27/1982,,0,0,0,Women's Basketball
468,Rifat Artikov,Uzbekistan,1/24/1983,Tashkent Region (UZB),0,0,0,Men's Decathlon
469,Danila Artiomov,Moldova,10/16/1994,TIRASPOL (MDA),0,0,0,Men's 100m Breaststroke
470,Eleni Artymata,Cyprus,5/16/1986,Paralimni (CYP),0,0,0,Women's 200m
471,Quadri Aruna,Nigeria,8/9/1988,OYO (NGR),0,0,0,Men's Singles
472,Zorana Arunovic,Serbia,11/22/1986,Beograd (SRB),0,0,0,"Women's 10m Air Pistol, Women's 25m Pistol"
473,Ardo Arusaar,Estonia,6/24/1988,Parnu (EST),0,0,0,Men's 96kg Greco-Roman
474,Vasiliki Arvaniti,Greece,3/17/1985,,0,0,0,Women's Beach Volleyball
475,Sofia Arvidsson,Sweden,2/16/1984,,0,0,0,"Women's Singles, Mixed Doubles"
476,Maryna Arzamasava,Belarus,12/17/1987,Minsk,0,0,0,Women's 800m
477,Mohammad Arzandeh,Iran,10/30/1987,Borojen (IRI),0,0,0,Men's Long Jump
478,Elena Arzhakova,Russia,9/8/1989,ALTAY REGION,0,0,0,Women's 800m
479,Maryam Arzouqi,Kuwait,3/6/1987,KUWAIT (KUW),0,0,0,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
480,Laura Asadauskaite,Lithuania,2/28/1984,Vilnius (LTU),0,0,0,Women's Modern Pentathlon
481,Kentaro Asahi,Japan,9/19/1975,,0,0,0,Men's Beach Volleyball
482,Sakiyo Asano,Japan,5/26/1987,KAGAMIHARA,0,0,0,Women's Hockey
483,Natalya Asanova,Uzbekistan,11/29/1989,ANDIJAN REGION (UZB),0,0,0,Women's 400m Hurdles
484,Anita Asante,GreatBritain,4/27/1985,,0,0,0,Women's Football
485,Rohollah Asgari,Iran,1/8/1982,Borojen (IRI),0,0,0,Men's 110m Hurdles
486,Toghrul Asgarov,Azerbaijan,9/17/1992,GANJA (AZE),0,0,0,Men's 60kg Freestyle
487,Rabia Ashiq,Pakistan,4/15/1992,LAHORE (PAK),0,0,0,Women's 800m
488,Irada Ashumova,Azerbaijan,2/25/1958,Baku (AZE),0,0,0,"Women's 10m Air Pistol, Women's 25m Pistol"
489,Jess Ashwood,Australia,4/28/1993,DARLINGHURST (AUS),0,0,0,Women's 800m Freestyle
490,Erzhan Askarov,Kyrgyzstan,9/29/1985,Bishkek (KGZ),0,0,0,Men's 800m
491,Kosovare Asllani,Sweden,7/29/1989,,0,0,0,Women's Football
492,Yared Asmerom,Eritrea,2/4/1980,Asmara (ERI),0,0,0,Men's Marathon
493,Dina Aspandiyarova,Australia,7/10/1976,Almaty (KAZ),0,0,0,Women's 10m Air Pistol
494,Victor Aspillaga Alayza,Peru,7/2/1985,,0,0,0,Men's Single Sculls
495,Ophelie Aspord,France,5/21/1991,BRUGES (BEL),0,0,0,Women's 10km Marathon
496,Valerio Aspromonte,Italy,3/16/1987,,0,0,0,"Men's Individual Foil, Men's Team Foil"
497,Omar Assar,Egypt,7/22/1991,KAFRELSHIKH,0,0,0,"Men's Singles, Men's Team"
498,Meskerem Assefa,Ethiopia,9/20/1985,ROBE (ETH),0,0,0,Women's 1500m
499,Sofia Assefa,Ethiopia,11/14/1987,Addis Ababa (ETH),0,0,0,Women's 3000m Steeplechase
500,Sonia Asselah,Algeria,8/20/1991,TIZI,0,0,0,Women's +78kg
501,Volha Astashka,Belarus,8/28/1986,BARANOVICHI,0,0,0,Women's 4 x 100m Relay
502,Jonathan Astrand,Finland,9/9/1985,Närpes (FIN),0,0,0,Men's 200m
503,Gloria Asumnu,Nigeria,5/22/1985,HOUSTON TEXAS,0,0,0,"Women's 100m, Women's 200m, Women's 4 x 100m Relay"
504,Sanaa Atabrour,Morocco,2/28/1989,Khouribga (MAR),0,0,0,Women's -49kg
505,Choucri Atafi,Morocco,12/8/1981,BOURG EN BRESSE,0,0,0,Men's 96kg Greco-Roman
506,Hursit Atak,Turkey,5/24/1991,SIRNAK,0,0,0,Men's 62kg
507,Aleksandar Atanasijevic,Serbia,9/4/1991,Beograd (SRB),0,0,0,Men's Volleyball
508,Delphine Atangana,Cameroon,8/16/1984,Yaoundé (CMR),0,0,0,Women's 100m
509,Ahmed Ghithe G Atari,Qatar,5/2/1994,Qatar (QAT),0,0,0,Men's 400m Individual Medley
510,Marios Athanasiadis,Cyprus,10/31/1986,LEFKOSIA (CYP),0,0,0,Men's Cross-country
511,Huseyin Atici,Turkey,5/3/1986,GIRESUN (TUR),0,0,0,Men's Shot Put
512,Derrick Atkins,Bahamas,1/5/1984,Kingston (JAM),0,0,0,Men's 100m
513,Alia Atkinson,Jamaica,12/11/1988,St Andrew (JAM),0,0,0,"Women's 50m Freestyle, Women's 100m Breaststroke, Women's 200m Breaststroke"
514,Amy Atkinson,Guam,8/5/1989,RUIT,0,0,0,Women's 800m
515,Courtney Atkinson,Australia,8/15/1979,Mackay (AUS),0,0,0,Men's Triathlon
516,Arnor Atlason,Iceland,7/23/1984,,0,0,0,Men's Handball
517,Abbos Atoev,Uzbekistan,6/7/1986,BUKHARA REGION (UZB),0,0,0,Men's Middle (75kg)
518,Safouane Attaf,Morocco,3/9/1984,KENITRA (MAR),0,0,0,Men's -81kg
519,Sarah Attar,SaudiArabia,8/27/1992,KSA (KSA),0,0,0,Women's 800m
520,Teneal Attard,Australia,3/16/1985,Mackay (AUS),0,0,0,Women's Hockey
521,Hoi Shun Stephanie Au,HongKong,5/30/1992,Hong Kong (HKG),0,0,0,"Women's 100m Backstroke, Women's 200m Backstroke"
522,Sin Ying Au,HongKong,1/8/1989,,0,0,0,Women's Individual Sabre
523,Pierre Aubameyang,Gabon,6/18/1989,,0,0,0,Men's Football
524,Chelsea Aubry,Canada,6/27/1984,,0,0,0,Women's Basketball
525,Sandra Auffarth,Germany,12/27/1986,DELMENHORST,1,0,1,"Individual Eventing, Team Eventing, OPGUN LOUVO"
526,Jessica Augusto,Portugal,11/8/1981,Paris,0,0,0,Women's Marathon
527,Seimone Augustus,USA,4/30/1984,,0,0,0,Women's Basketball
528,Kamila Augustyn,Poland,1/14/1982,SLUPSK,0,0,0,Women's Singles
529,Rafal Augustyn,Poland,3/14/1984,Debica,0,0,0,"Men's 20km Race Walk, Men's 50km Race Walk"
530,Apti Aukhadov,Russia,11/18/1992,URUS,0,0,0,Men's 85kg
531,Aye Aye Aung,Myanmar,12/2/1984,YANGON (MYA),0,0,0,Women's -78kg
532,James Austin,GreatBritain,4/5/1983,BURTON UPON TRENT,0,0,0,Men's -100kg
533,Fatih Avan,Turkey,1/1/1989,ANDIRIN (TUR),0,0,0,Men's Javelin Throw
534,Anna Avdeeva,Russia,4/6/1985,ORENBURG,0,0,0,Women's Shot Put
535,Kevin Avila Soto,Guatemala,12/22/1992,SANTA CATARINA PINULA (GUA),0,0,0,Men's 100m Freestyle
536,Edwin Alcibiades Avila Vanegas,Colombia,11/21/1989,CALI (COL),0,0,0,Men's Team Pursuit
537,Mariana Avitia,Mexico,9/18/1993,MONTERREY,0,0,1,"Women's Individual, Women's Team"
538,Nazmi Avluca,Turkey,11/14/1976,Corum (TUR),0,0,0,Men's 84kg Greco-Roman
539,Giorgio Avola,Italy,08/05/1989,,0,0,0,Men's Team Foil
540,Roman Avramenko,Ukraine,3/23/1988,CRIMEA,0,0,0,Men's Javelin Throw
541,Ekaterina Avramova,Bulgaria,11/12/1991,Sofia (BUL),0,0,0,"Women's 100m Backstroke, Women's 200m Backstroke"
542,Ahmed Awad,Egypt,1/1/1987,SHARKIA,0,0,0,Men's -66kg
543,Rabab Eid Sayed Awad,Egypt,8/10/1990,Cairo,0,0,0,Women's 55kg Freestyle
544,Suguru Awaji,Japan,26/07/1989,,0,0,0,Men's Team Foil
545,Azizulhasni Awang,Malaysia,1/5/1988,TERENGGANU (MAS),0,0,0,"Men's Sprint, Men's Keirin"
546,Daniel Awde,GreatBritain,6/22/1988,HAMMERSMITH,0,0,0,Men's Decathlon
547,Tarek Ayad,Egypt,5/29/1987,,0,0,0,"Men's Individual Foil, Men's Team Foil"
548,Hiwot Ayalew,Ethiopia,3/6/1990,Gojjam (ETH),0,0,0,Women's 3000m Steeplechase
549,Hassine Ayari,Tunisia,7/4/1985,Tunis (TUN),0,0,0,Men's 96kg Greco-Roman
550,Ventsislav Aydarski,Bulgaria,2/17/1991,SANDANSKI (BUL),0,0,0,Men's 1500m Freestyle
551,Naz Aydemir,Turkey,8/14/1990,SISLI (TUR),0,0,0,Women's Volleyball
552,Sema Aydemir-Apak,Turkey,8/17/1985,Bursa (TUR),0,0,0,Women's 4 x 400m Relay
553,Merve Aydin,Turkey,3/17/1990,Istanbul (TUR),0,0,0,Women's 800m
554,Thomas Ayeko,Uganda,2/10/1992,KAPKWOROSOI (UGA),0,0,0,"Men's 10,000m"
555,Camille Ayglon,France,5/21/1985,,0,0,0,Women's Handball
556,Burcu Ayhan,Turkey,5/3/1990,Mersin (TUR),0,0,0,Women's High Jump
557,Miranda Ayim,Canada,5/6/1988,,0,0,0,Women's Basketball
558,Louise Ayling,NewZealand,10/23/1987,,0,0,0,Women's Lightweight Double Sculls
559,Luciana Aymar,Argentina,8/10/1977,ROSARIO,0,0,0,Women's Hockey
560,David Ayrapetyan,Russia,9/26/1983,,0,0,0,Men's Light Fly (49kg)
561,Zied Ayt Okrame,Tunisia,12/18/1988,Tunis (TUN),0,0,0,Men's 74kg Greco-Roman
